                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9179,                 2.9571,                 1.0203,                0.31814,                0.19717,                0.16801,                0.07591,                  1.849,                 2.1486,                 1.0227,              0.0005536,              0.0005536,              0.0005536
                      2,                 2.0185,                  1.865,                 1.0244,                0.44548,                0.11609,                0.14692,                0.06589,                 1.9281,                 2.6613,                 1.0599,              0.0010544,              0.0010544,              0.0010544
                      3,                 1.9594,                  1.891,                 1.0207,                0.50076,                0.14595,                0.17662,                0.07357,                 1.9289,                 2.1709,                 1.0329,              0.0015001,              0.0015001,              0.0015001
                      4,                 1.9066,                 1.7133,                  1.005,                0.35391,                0.17864,                0.16689,                0.06629,                 1.8998,                 2.1272,                 1.0259,              0.0014195,              0.0014195,              0.0014195
                      5,                  1.879,                 1.6462,                0.98914,                0.41519,                0.21338,                0.21175,                0.10609,                 1.7084,                 1.7408,                0.98459,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.8005,                 1.5362,                0.97086,                0.44267,                0.25862,                 0.2627,                0.13134,                 1.6489,                 1.4133,                0.97643,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.7255,                 1.4813,                0.94704,                0.48424,                0.25972,                0.27414,                 0.1409,                 1.5479,                 1.3146,                0.95618,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.7163,                 1.4474,                0.94622,                0.52516,                 0.2538,                0.27369,                0.13844,                 1.5345,                 1.2538,                0.94861,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.6629,                 1.3533,                0.94973,                0.50803,                0.27027,                0.28663,                0.14247,                 1.5666,                  1.267,                 0.9491,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.6387,                 1.3073,                0.92485,                0.55271,                0.26821,                0.30627,                0.15472,                 1.5205,                 1.1455,                0.94457,              0.0010069,              0.0010069,              0.0010069
                     11,                  1.538,                 1.2149,                0.95374,                0.57044,                0.29369,                0.33328,                0.17663,                 1.4482,                 1.0697,                0.93056,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.5373,                 1.1542,                0.94781,                0.53207,                0.29189,                0.32392,                 0.1754,                 1.4202,                 1.0574,                0.92315,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.5385,                 1.1323,                0.94226,                0.54668,                0.29884,                0.33219,                0.17714,                 1.4501,                 1.0356,                0.93838,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.4843,                 1.0753,                0.92201,                0.59403,                0.29227,                0.33625,                0.18028,                 1.4241,                0.98473,                0.92114,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.4643,                 1.0473,                0.92465,                 0.5622,                0.28546,                0.32626,                0.17721,                 1.4012,                0.98948,                0.91595,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.4395,                 1.0193,                0.91993,                0.57452,                0.29987,                0.34061,                0.17954,                 1.4064,                0.98741,                0.91918,             0.00051177,             0.00051177,             0.00051177
                     17,                  1.429,                0.98748,                0.91316,                0.61204,                0.28443,                0.33203,                0.18547,                 1.3275,                0.93598,                0.90012,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.3891,                 0.9571,                0.90492,                 0.5896,                0.30811,                0.34807,                0.18889,                 1.3857,                0.90549,                0.90519,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.3956,                0.91699,                0.89994,                 0.6317,                0.29858,                0.35776,                0.19819,                 1.3266,                0.87445,                0.89865,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.3628,                0.88838,                0.90363,                0.64071,                0.30064,                0.35999,                0.19776,                 1.3625,                0.86481,                 0.9018,              0.0001817,              0.0001817,              0.0001817
