                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7684,                 2.7434,                 1.0007,                  0.243,                0.14183,                 0.1106,                 0.0537,                 1.9019,                 2.5941,                 1.0949,              0.0005536,              0.0005536,              0.0005536
                      2,                 1.8196,                 1.7099,                 1.0082,                0.34528,                0.20309,                 0.1858,                0.08873,                  1.801,                 1.5855,                 1.0252,              0.0010544,              0.0010544,              0.0010544
                      3,                 1.7957,                  1.601,                0.99915,                0.31559,                0.21898,                0.19017,                0.09442,                 1.7864,                 1.8404,                 1.0211,              0.0015001,              0.0015001,              0.0015001
                      4,                 1.6897,                 1.4451,                0.97736,                 0.3924,                0.21828,                0.21157,                0.10965,                 1.6808,                 1.5713,                 0.9856,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.6666,                 1.3681,                  0.969,                0.49257,                0.27928,                0.29356,                  0.143,                  1.646,                 1.2878,                0.96635,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.6004,                 1.2887,                0.94658,                0.47491,                0.26126,                0.28142,                0.15336,                 1.5316,                 1.2274,                0.94818,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.5465,                 1.2302,                0.93416,                0.48496,                0.27439,                0.29308,                0.15706,                 1.5214,                 1.1762,                0.94543,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.4966,                 1.1564,                 0.9252,                0.54082,                0.27207,                0.30065,                 0.1647,                 1.4753,                 1.0991,                0.94214,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.4852,                 1.1135,                 0.9256,                0.52759,                0.28649,                0.32296,                0.17432,                 1.4615,                 1.0627,                0.92724,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.4464,                 1.0786,                0.90693,                0.55304,                0.28263,                0.32224,                0.17761,                 1.4417,                 1.0412,                0.93226,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.3647,                0.90634,                0.88958,                0.60344,                0.28443,                0.34601,                0.18915,                 1.4158,                 1.0132,                0.92074,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.3456,                0.87626,                0.88345,                0.58912,                0.28935,                0.33326,                0.18798,                 1.3567,                0.91878,                0.90895,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.3008,                0.81719,                0.87697,                0.57904,                0.29776,                0.34826,                0.19951,                 1.3544,                 0.8952,                0.91078,             0.00075932,             0.00075932,             0.00075932
                     14,                  1.265,                 0.7867,                0.86706,                0.66144,                0.29781,                0.36223,                0.20763,                 1.3304,                 0.8368,                0.90115,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.2372,                0.75721,                0.86037,                0.63718,                0.29807,                0.36424,                 0.2075,                  1.336,                0.83994,                0.89773,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.1909,                 0.7108,                0.85725,                 0.6758,                0.30579,                0.37748,                0.21896,                 1.2757,                0.79404,                0.89369,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.1744,                0.69137,                0.84785,                0.62475,                0.30656,                0.36939,                0.21753,                  1.282,                0.80105,                0.89059,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.1349,                0.65446,                0.84115,                0.66816,                0.30578,                0.37395,                0.21924,                 1.2677,                0.78571,                0.88854,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.1019,                0.62682,                0.83504,                0.67377,                0.31145,                 0.3859,                0.22956,                 1.2367,                0.75785,                0.88184,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.0614,                0.58892,                0.83528,                 0.6961,                0.31662,                0.38853,                0.23027,                 1.2347,                0.74309,                0.88555,              0.0001817,              0.0001817,              0.0001817
