                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7156,                 2.6011,                 1.0109,                0.09658,                0.13745,                0.02751,                0.01172,                 1.9896,                 5.7984,                 1.0629,             0.00066049,             0.00066049,             0.00066049
                      2,                 1.7452,                 1.5553,                0.98801,                0.09705,                0.06718,                 0.0242,                   0.01,                 2.6649,                 13.499,                 1.3444,              0.0012834,              0.0012834,              0.0012834
                      3,                 1.7216,                 1.4128,                0.98247,                0.43997,                0.23861,                0.23905,                0.11718,                  1.719,                 1.5737,                0.99139,              0.0018622,              0.0018622,              0.0018622
                      4,                 1.5936,                 1.2367,                0.94687,                0.40162,                0.21112,                0.19936,                0.10225,                 1.6198,                 1.6482,                0.97591,               0.001802,               0.001802,               0.001802
                      5,                 1.5268,                 1.1287,                0.93146,                0.48613,                0.23604,                  0.244,                0.12581,                 1.6217,                 1.3915,                0.98331,               0.001802,               0.001802,               0.001802
                      6,                 1.4743,                 1.0601,                0.92195,                0.43264,                0.23732,                0.24991,                 0.1335,                 1.5563,                 1.4212,                0.95754,               0.001736,               0.001736,               0.001736
                      7,                 1.4355,                 1.0117,                0.91344,                0.42379,                0.20669,                0.22261,                0.12379,                 1.5376,                 1.4823,                0.94794,                0.00167,                0.00167,                0.00167
                      8,                 1.4043,                0.95067,                0.90142,                0.50239,                0.30039,                0.32562,                0.17505,                 1.4822,                 1.0145,                0.93311,               0.001604,               0.001604,               0.001604
                      9,                 1.3814,                0.92111,                0.89585,                0.48908,                0.25748,                0.27279,                0.14581,                 1.5351,                 1.2418,                0.94445,               0.001538,               0.001538,               0.001538
                     10,                 1.3306,                0.86829,                0.89158,                0.57799,                0.27079,                0.31192,                0.17494,                 1.3672,                0.99049,                0.90877,               0.001472,               0.001472,               0.001472
                     11,                 1.3018,                0.83275,                0.87546,                0.60146,                 0.2762,                0.32481,                0.18364,                 1.3822,                0.95552,                0.91933,               0.001406,               0.001406,               0.001406
                     12,                 1.2771,                0.80907,                0.87153,                 0.6268,                0.30305,                0.36788,                0.20492,                 1.3327,                0.89036,                0.89868,                0.00134,                0.00134,                0.00134
                     13,                 1.2627,                0.77845,                0.86422,                0.56609,                0.29936,                 0.3474,                 0.1973,                 1.3376,                0.93685,                0.90241,               0.001274,               0.001274,               0.001274
                     14,                 1.2243,                0.75404,                0.85814,                0.56797,                0.28005,                0.32119,                0.18005,                 1.3824,                 1.1058,                0.91185,               0.001208,               0.001208,               0.001208
                     15,                 1.2094,                0.72912,                 0.8564,                0.64758,                0.28757,                 0.3672,                0.21221,                 1.3285,                0.93574,                0.90222,               0.001142,               0.001142,               0.001142
                     16,                 1.1846,                0.70203,                0.85054,                0.60203,                0.28855,                0.35117,                 0.2017,                 1.3443,                0.99237,                0.90162,               0.001076,               0.001076,               0.001076
                     17,                 1.1596,                0.68197,                0.85059,                0.67242,                0.30476,                0.38046,                0.22144,                 1.2924,                0.81338,                0.89299,                0.00101,                0.00101,                0.00101
                     18,                 1.1353,                0.64689,                0.84493,                0.65751,                 0.3269,                0.40535,                 0.2332,                 1.2982,                0.81079,                0.89684,               0.000944,               0.000944,               0.000944
                     19,                 1.1065,                0.63942,                 0.8388,                0.67866,                0.30914,                0.39106,                0.22594,                 1.2905,                0.79915,                 0.8978,               0.000878,               0.000878,               0.000878
                     20,                 1.0988,                0.62103,                0.83637,                0.65521,                0.30991,                0.39288,                0.23096,                 1.2914,                0.79493,                0.89085,               0.000812,               0.000812,               0.000812
                     21,                 1.0677,                0.59968,                0.83354,                0.70358,                0.29961,                0.36836,                0.21888,                 1.2512,                0.76356,                0.89224,               0.000746,               0.000746,               0.000746
                     22,                 1.0447,                0.57848,                0.82677,                0.71226,                0.31042,                0.39715,                0.23715,                 1.2415,                0.75594,                0.88849,                0.00068,                0.00068,                0.00068
                     23,                 1.0313,                0.56447,                0.82556,                0.72325,                0.30607,                0.40916,                  0.244,                 1.2401,                0.75043,                0.88263,               0.000614,               0.000614,               0.000614
                     24,                0.99621,                0.54476,                 0.8187,                0.72882,                0.30301,                0.39397,                0.23399,                 1.2494,                0.75298,                0.88404,               0.000548,               0.000548,               0.000548
                     25,                0.96763,                 0.5259,                0.81712,                0.73827,                0.31532,                0.40648,                0.24062,                 1.2449,                0.72569,                0.88685,               0.000482,               0.000482,               0.000482
                     26,                0.95508,                 0.5155,                0.81472,                0.72824,                 0.3097,                0.40147,                0.24243,                 1.2374,                0.72762,                0.88607,               0.000416,               0.000416,               0.000416
                     27,                0.92262,                0.49411,                0.80729,                0.73597,                0.31139,                0.41415,                0.24996,                 1.2261,                0.72388,                0.89251,                0.00035,                0.00035,                0.00035
                     28,                0.90126,                0.48254,                0.80665,                0.79448,                0.30862,                0.41106,                0.24974,                 1.2201,                0.69531,                0.88345,               0.000284,               0.000284,               0.000284
                     29,                0.87251,                0.46804,                0.80609,                0.78308,                0.31407,                0.42059,                0.25487,                 1.2091,                 0.6929,                0.88399,               0.000218,               0.000218,               0.000218
                     30,                0.84485,                0.45652,                0.80561,                0.77423,                0.31094,                0.43131,                0.26185,                 1.2086,                 0.6941,                0.88691,               0.000152,               0.000152,               0.000152
