                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0759,                 8.3756,                 1.5432,                0.00152,                0.00621,                0.00078,                0.00016,                 2.5483,                  11.53,                 1.7048,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.2136,                 7.0529,                 1.4071,                0.10699,                0.04969,                0.06758,                0.04119,                 1.8896,                 225.52,                  1.304,             0.00030628,             0.00030628,             0.00030628
                      3,                 1.7164,                 3.1083,                 1.1535,                0.11156,                0.06832,                0.06072,                0.04476,                 1.6978,                 30.717,                 1.3894,             0.00045152,             0.00045152,             0.00045152
                      4,                 1.8349,                 2.6832,                 1.1815,                0.01334,                0.03727,                0.00548,                0.00284,                 2.4827,                 675.57,                 8.1691,             0.00058577,             0.00058577,             0.00058577
                      5,                 1.8006,                 2.2592,                 1.2419,                0.00086,                0.02484,                0.00028,                  7e-05,                  3.707,                 518.96,                 3.7449,             0.00070901,             0.00070901,             0.00070901
                      6,                 1.8526,                 2.1248,                 1.1716,                0.00086,                0.02484,                0.00028,                  7e-05,                    nan,                    nan,                    nan,             0.00082125,             0.00082125,             0.00082125
                      7,                 1.8606,                 2.2868,                 1.2867,                0.00086,                0.02484,                0.00028,                  7e-05,                    nan,                    nan,                    nan,             0.00092248,             0.00092248,             0.00092248
                      8,                 1.9324,                 2.0266,                 1.3453,                0.00086,                0.02484,                0.00028,                  7e-05,                    nan,                    nan,                    nan,              0.0010127,              0.0010127,              0.0010127
                      9,                 1.9955,                 2.1378,                 1.3592,                0.00086,                0.02484,                0.00028,                  7e-05,                    nan,                    nan,                    nan,               0.001092,               0.001092,               0.001092
                     10,                 1.8841,                 1.9445,                 1.2692,                0.00019,                0.01242,                 0.0001,                  1e-05,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     11,                 1.9032,                 2.0509,                 1.3804,                0.00048,                0.03727,                 0.0002,                  5e-05,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.7596,                 1.7566,                  1.209,                0.00048,                0.03727,                 0.0002,                  5e-05,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.7552,                  1.655,                 1.1666,                0.00048,                0.03727,                 0.0002,                  5e-05,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     14,                 2.0259,                 1.9762,                 1.4254,                  6e-05,                0.00621,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.8174,                 1.6365,                 1.2426,                0.00031,                0.03106,                0.00016,                  5e-05,                    nan,                    nan,                    nan,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.7815,                 1.6361,                 1.3292,                0.00277,                0.21739,                0.00152,                0.00062,                 2.4426,                 314.08,                 3.0941,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.8037,                 1.6007,                 1.2505,                0.00666,                0.04348,                0.00147,                0.00066,                 2.8758,                 19.677,                 3.0089,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.9296,                 1.7894,                 1.2967,                0.42695,                0.18976,                0.19892,                0.09472,                 1.8638,                 1.8246,                 1.4872,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.7138,                 1.4373,                 1.1219,                0.37599,                 0.1677,                0.13758,                0.06724,                 1.8894,                 1.7472,                 1.6547,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.7616,                 1.5889,                 1.1905,                 0.3478,                0.21862,                0.20365,                0.09425,                 1.8293,                 1.8098,                 1.2771,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.5746,                 1.3769,                 1.0932,                0.41349,                0.21118,                0.20877,                0.09625,                 1.8071,                 1.6479,                 1.2565,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.5617,                 1.2957,                 1.1022,                0.43912,                0.24845,                0.24466,                 0.1136,                  1.752,                 1.5994,                 1.3811,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.5332,                 1.2084,                 1.0923,                0.48575,                0.24056,                 0.2489,                0.12332,                 1.6332,                 1.5308,                 1.5227,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.4172,                 1.0635,                 1.0589,                0.47719,                0.29193,                0.30485,                0.15122,                 1.6425,                  1.403,                 1.1814,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.3836,                 1.1299,                 1.0404,                0.54768,                0.26087,                 0.2988,                0.14298,                 1.6147,                 1.2477,                 1.1466,             0.00040175,             0.00040175,             0.00040175
                     26,                   1.58,                 1.2724,                 1.0983,                0.56623,                0.26708,                 0.2865,                 0.1438,                 1.5566,                 1.2397,                 1.1101,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.4737,                 1.1086,                 1.0443,                0.44923,                0.31056,                0.28019,                0.14884,                  1.445,                 1.1704,                 1.0815,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.4019,                 1.1547,                 1.0446,                0.57931,                0.26087,                0.28595,                 0.1556,                 1.4973,                 1.1784,                 1.0885,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.4406,                   1.08,                 1.0558,                0.45676,                0.25466,                0.25288,                0.14305,                 1.5341,                 1.1821,                  1.102,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.4149,                0.98512,                 1.0491,                0.51418,                 0.2236,                0.24627,                0.13811,                 1.5352,                 1.1646,                 1.1034,             0.00012669,             0.00012669,             0.00012669
