                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4708,                 104.14,                0.83208,                      0,                      0,                      0,                      0,                 2.8544,                 36.401,                 1.2947,                      0,                      0,                      0
                      2,                 2.6316,                 9.7272,                  1.869,                      0,                      0,                      0,                      0,                 2.7748,                 35.621,                 1.2579,              1.612e-05,              1.612e-05,              1.612e-05
                      3,                 1.6895,                 10.909,                 1.3703,                      0,                      0,                      0,                      0,                 2.6625,                 36.222,                 1.2346,              3.114e-05,              3.114e-05,              3.114e-05
                      4,                  2.105,                 14.931,                 1.5286,                      0,                      0,                      0,                      0,                 2.6298,                 37.814,                 1.2021,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      5,                 5.4456,                 105.28,                 2.6072,                      0,                      0,                      0,                      0,                 2.8657,                 30.868,                 1.3221,             5.7878e-05,             5.7878e-05,             5.7878e-05
                      6,                 4.4645,                 37.881,                 2.6249,                      0,                      0,                      0,                      0,                 2.7948,                 29.375,                 1.2853,             6.9597e-05,             6.9597e-05,             6.9597e-05
                      7,                 2.2764,                   26.8,                 1.4416,                      0,                      0,                      0,                      0,                 2.7339,                 29.691,                 1.2627,             8.0216e-05,             8.0216e-05,             8.0216e-05
                      8,                 4.1615,                  73.44,                 1.9306,                      0,                      0,                      0,                      0,                 2.6381,                 29.095,                 1.2343,             8.9735e-05,             8.9735e-05,             8.9735e-05
                      9,                 1.2793,                 13.575,                 1.0879,                      0,                      0,                      0,                      0,                 2.6158,                 29.269,                  1.197,             9.8153e-05,             9.8153e-05,             9.8153e-05
                     10,                      0,                 100.76,                      0,                      0,                      0,                      0,                      0,                 2.5462,                  30.69,                 1.1394,             0.00010547,             0.00010547,             0.00010547
                     11,                 3.9159,                 60.594,                 2.2124,                      0,                      0,                      0,                      0,                 2.5937,                 31.361,                 1.1456,             0.00011169,             0.00011169,             0.00011169
                     12,                 4.0644,                 18.339,                 2.4715,                      0,                      0,                      0,                      0,                 2.5686,                 30.317,                 1.1375,             0.00011681,             0.00011681,             0.00011681
                     13,                 3.7119,                 23.308,                 2.1757,                      0,                      0,                      0,                      0,                 2.5821,                  29.96,                 1.1479,             0.00012082,             0.00012082,             0.00012082
                     14,                 1.9255,                 22.458,                 1.3978,                      0,                      0,                      0,                      0,                 2.4603,                 344.46,                 1.0892,             0.00012374,             0.00012374,             0.00012374
                     15,                 3.7237,                 30.305,                 1.7348,                      0,                      0,                      0,                      0,                 2.4517,                  94.44,                 1.1246,             0.00012556,             0.00012556,             0.00012556
                     16,                  2.035,                 9.4019,                 1.1883,                      0,                      0,                      0,                      0,                  2.315,                  52.24,                 1.0613,             0.00012628,             0.00012628,             0.00012628
                     17,                  1.626,                 4.8659,                 1.2984,                      0,                      0,                      0,                      0,                 2.4552,                 59.347,                 1.0923,             0.00012589,             0.00012589,             0.00012589
                     18,                 2.0669,                 6.3939,                  1.178,                      0,                      0,                      0,                      0,                 2.4552,                 59.347,                 1.0923,             0.00012441,             0.00012441,             0.00012441
                     19,                 2.7741,                 12.323,                 1.6413,                      0,                      0,                      0,                      0,                 2.5907,                 89.217,                 1.1206,             0.00012182,             0.00012182,             0.00012182
                     20,                 1.6658,                 3.6863,                  1.247,                      0,                      0,                      0,                      0,                 2.5907,                 89.217,                 1.1206,             0.00011814,             0.00011814,             0.00011814
                     21,                 1.5161,                 4.9334,                 1.0466,                      0,                      0,                      0,                      0,                 2.6584,                 108.25,                 1.1089,             0.00011336,             0.00011336,             0.00011336
                     22,                 1.6105,                 4.4849,                 1.1852,                      0,                      0,                      0,                      0,                 2.6584,                 108.25,                 1.1089,             0.00010747,             0.00010747,             0.00010747
                     23,                 1.3572,                  5.237,                 1.1548,                0.04545,                0.03333,                0.02374,                0.01661,                 2.5901,                 121.25,                 1.0944,             0.00010049,             0.00010049,             0.00010049
                     24,                   1.99,                 4.5674,                 1.4958,                0.04545,                0.03333,                0.02374,                0.01661,                 2.5901,                 121.25,                 1.0944,             9.2402e-05,             9.2402e-05,             9.2402e-05
                     25,                 1.6204,                 4.0892,                 1.4718,                0.02008,                0.03333,                0.01027,                0.00719,                 2.6289,                 94.442,                 1.0997,             8.3217e-05,             8.3217e-05,             8.3217e-05
                     26,                 1.2465,                 2.9879,                 1.0949,                0.02008,                0.03333,                0.01027,                0.00719,                 2.6289,                 94.442,                 1.0997,             7.2931e-05,             7.2931e-05,             7.2931e-05
                     27,                 1.1381,                 4.8137,                0.95763,                0.02012,                0.03333,                 0.0073,                0.00511,                 2.6428,                 70.846,                 1.1049,             6.1546e-05,             6.1546e-05,             6.1546e-05
                     28,                 1.3166,                 4.0839,                 1.0587,                0.02012,                0.03333,                 0.0073,                0.00511,                 2.6428,                 70.846,                 1.1049,              4.906e-05,              4.906e-05,              4.906e-05
                     29,                 1.5846,                 4.3316,                 1.1946,                0.02834,                0.03333,                0.00542,                0.00379,                 2.6352,                 58.772,                 1.1012,             3.5474e-05,             3.5474e-05,             3.5474e-05
                     30,                 1.5311,                 3.0172,                 1.0144,                0.02834,                0.03333,                0.00542,                0.00379,                 2.6352,                 58.772,                 1.1012,             2.0787e-05,             2.0787e-05,             2.0787e-05
