                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9669,                 17.996,                 1.8462,                      0,                      0,                      0,                      0,                 3.4956,                 65.938,                 2.1415,                      0,                      0,                      0
                      2,                  4.241,                 14.922,                 3.2154,                      0,                      0,                      0,                      0,                 3.3266,                 66.312,                 2.0617,              1.502e-05,              1.502e-05,              1.502e-05
                      3,                 4.4111,                 24.662,                 1.6799,                      0,                      0,                      0,                      0,                 3.2637,                 66.688,                 2.0451,             2.6739e-05,             2.6739e-05,             2.6739e-05
                      4,                  2.539,                 14.733,                 1.2523,                      0,                      0,                      0,                      0,                 3.1274,                  67.25,                 2.0012,             3.5157e-05,             3.5157e-05,             3.5157e-05
                      5,                 3.2014,                 15.686,                 1.8798,                      0,                      0,                      0,                      0,                 3.0757,                 67.625,                 1.9879,             4.0275e-05,             4.0275e-05,             4.0275e-05
                      6,                   2.85,                 14.509,                 1.9402,                      0,                      0,                      0,                      0,                 2.8755,                 67.688,                 1.8909,             4.2092e-05,             4.2092e-05,             4.2092e-05
                      7,                 4.7839,                 32.265,                 2.2095,                      0,                      0,                      0,                      0,                 2.8144,                  68.25,                 1.8766,             4.0608e-05,             4.0608e-05,             4.0608e-05
                      8,                 1.7898,                 12.055,                 1.5815,                      0,                      0,                      0,                      0,                 2.7451,                 68.875,                 1.8499,             3.5824e-05,             3.5824e-05,             3.5824e-05
                      9,                 2.7161,                 20.093,                 1.6532,                      0,                      0,                      0,                      0,                 2.6602,                 68.938,                 1.8249,             2.7739e-05,             2.7739e-05,             2.7739e-05
                     10,                 2.4978,                 12.739,                  1.797,                      0,                      0,                      0,                      0,                 2.5697,                 69.625,                 1.7927,             1.6353e-05,             1.6353e-05,             1.6353e-05
