                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1703,                 8.2786,                 1.5885,                0.00306,                0.01242,                0.00155,                0.00116,                 2.5673,                 13.089,                 1.7631,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.2373,                 6.3841,                 1.4224,                0.06205,                0.08696,                 0.0343,                0.02171,                 1.8121,                 67.014,                 1.3008,             0.00030419,             0.00030419,             0.00030419
                      3,                 1.7722,                 3.1395,                 1.1335,                0.16102,                0.16149,                0.10195,                0.04944,                 1.7884,                 10.788,                 1.3171,             0.00044514,             0.00044514,             0.00044514
                      4,                 1.8301,                 2.5086,                 1.2287,                0.00073,                0.01242,                0.00022,                0.00013,                 1.7107,                    inf,                 5.2454,             0.00057289,             0.00057289,             0.00057289
                      5,                 1.8149,                 2.2245,                 1.2133,                  6e-05,                0.00621,                  3e-05,                      0,                    nan,                    nan,                    nan,             0.00068744,             0.00068744,             0.00068744
                      6,                 2.0627,                 2.2056,                 1.2158,                0.00029,                0.01242,                  9e-05,                  1e-05,                 4.7322,                    inf,                 3.3701,             0.00078879,             0.00078879,             0.00078879
                      7,                 1.8491,                 2.1865,                 1.2799,                0.00048,                0.03727,                0.00026,                0.00016,                 3.2051,                    inf,                 38.183,             0.00087694,             0.00087694,             0.00087694
                      8,                 1.8271,                 2.0392,                 1.2698,                0.00408,                0.06832,                 0.0019,                0.00079,                 2.4366,                    inf,                 3.2688,             0.00095188,             0.00095188,             0.00095188
                      9,                 2.0832,                 2.2202,                 1.3415,                0.00408,                0.06832,                 0.0019,                0.00079,                0.07735,                    nan,                 11.413,              0.0010136,              0.0010136,              0.0010136
                     10,                 1.8258,                 2.0258,                 1.3075,                0.00037,                0.01242,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,              0.0010622,              0.0010622,              0.0010622
                     11,                 2.1244,                 2.2236,                 1.4466,                0.00037,                0.01242,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.9539,                    1.9,                  1.318,                0.00037,                0.01242,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.8605,                 1.8076,                 1.1918,                0.19441,                0.04348,                0.03212,                0.01787,                 3.0845,                    inf,                 2.1737,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.9614,                 1.8701,                  1.321,                 0.3216,                0.14907,                0.13008,                0.07633,                 1.9682,                 229.95,                 1.5755,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.8306,                 1.6602,                 1.1963,                0.26457,                0.09938,                0.04689,                0.02445,                 2.3484,                 5.0465,                 1.7379,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.6503,                  1.541,                 1.1167,                 0.3107,                0.13043,                0.09618,                0.04934,                 1.8599,                    inf,                 1.4343,             0.00074282,             0.00074282,             0.00074282
                     17,                   1.63,                 1.4668,                 1.1565,                0.47668,                0.20497,                0.18088,                0.08603,                 1.8465,                 3.1995,                 1.3094,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.6533,                 1.3902,                 1.1544,                0.42325,                0.25466,                0.22366,                0.10539,                 1.8358,                 2.2431,                 1.2296,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.4613,                 1.2653,                 1.0527,                0.45306,                0.22981,                0.20935,                 0.0972,                 1.7695,                 2.3773,                  1.252,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.5128,                 1.2388,                  1.102,                0.33465,                0.24224,                0.20986,                0.09148,                  1.768,                 1.5974,                 1.1863,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.5739,                 1.2943,                 1.1149,                0.52928,                0.22981,                0.24353,                0.11882,                   1.58,                 1.5439,                  1.124,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.5232,                 1.2094,                 1.1181,                0.43439,                0.21739,                0.22625,                0.12278,                   1.58,                 1.4582,                 1.1402,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.4392,                 1.1471,                 1.0459,                0.56861,                0.22981,                0.24974,                0.13331,                 1.5663,                 1.3648,                 1.1435,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.4142,                 1.0852,                 1.0293,                0.41431,                0.23602,                0.25781,                 0.1416,                 1.5037,                 1.2868,                 1.1093,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.3523,                 1.0487,                 1.0561,                0.54354,                0.25149,                 0.2902,                 0.1484,                 1.4948,                 1.2545,                 1.1016,              0.0001487,              0.0001487,              0.0001487
