                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3034,                 9.6152,                0.90328,                      0,                      0,                      0,                      0,                 3.2914,                 13.578,                 1.9367,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.9757,                 15.167,                0.96296,                      0,                      0,                      0,                      0,                 3.1982,                 13.682,                 1.9096,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      3,                 2.0006,                 13.086,                 1.1016,                      0,                      0,                      0,                      0,                 3.0861,                  13.21,                 1.8741,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      4,                 1.0871,                 18.022,                0.68764,                      0,                      0,                      0,                      0,                 2.8923,                 13.232,                 1.7848,             9.9362e-05,             9.9362e-05,             9.9362e-05
                      5,                 1.5039,                 16.468,                 0.6787,                      0,                      0,                      0,                      0,                 2.7905,                 28.754,                 1.7759,             0.00012032,             0.00012032,             0.00012032
                      6,                 1.6504,                 8.4823,                0.94841,                0.00137,                0.02273,                0.00072,                0.00051,                 2.7052,                 36.401,                 1.7347,             0.00013799,             0.00013799,             0.00013799
                      7,                 1.3829,                  6.831,                0.90039,                0.08919,                0.02273,                0.00983,                0.00544,                 2.8322,                 37.525,                 1.7353,             0.00015235,             0.00015235,             0.00015235
                      8,                 1.5664,                 13.592,                0.90948,                0.03941,                0.04545,                 0.0082,                0.00421,                 2.8619,                 34.128,                 1.7172,             0.00016341,             0.00016341,             0.00016341
                      9,                 2.2563,                 5.9236,                 1.3698,                0.03456,                0.04545,                0.01899,                0.01068,                 2.7113,                 81.374,                 1.5959,             0.00017117,             0.00017117,             0.00017117
                     10,                0.85604,                 6.1691,                0.55632,                0.04762,                0.09091,                0.03772,                0.02303,                 2.6184,                 56.359,                  1.546,             0.00017563,             0.00017563,             0.00017563
                     11,                 2.8176,                 7.9653,                 1.4974,                0.00694,                0.04545,                 0.0022,                0.00131,                 2.6888,                 69.404,                 1.5185,             0.00017679,             0.00017679,             0.00017679
                     12,                 2.4941,                 5.0183,                 1.4205,                0.00432,                0.04545,                0.00138,                0.00097,                 2.4357,                 152.18,                 1.4175,             0.00017464,             0.00017464,             0.00017464
                     13,                 1.3967,                 5.3791,                0.99459,                0.00402,                0.04545,                0.00153,                0.00108,                 2.4892,                 139.99,                 1.3894,              0.0001692,              0.0001692,              0.0001692
                     14,                 1.6031,                 5.7341,                 1.0494,                0.00573,                0.04545,                0.00176,                0.00112,                 2.4995,                 70.708,                 1.4085,             0.00016046,             0.00016046,             0.00016046
                     15,                 1.5521,                 3.7346,                  0.772,                0.01012,                0.09091,                0.00391,                0.00206,                 2.4789,                 58.133,                 1.3771,             0.00014841,             0.00014841,             0.00014841
                     16,                 1.3897,                 3.5227,                 0.8892,                0.02773,                0.09091,                0.00775,                0.00424,                 2.4144,                 32.126,                 1.3579,             0.00013307,             0.00013307,             0.00013307
                     17,                 2.0474,                 3.7588,                0.99885,                0.10709,                0.09091,                0.02483,                0.01341,                 2.3657,                 21.927,                  1.356,             0.00011442,             0.00011442,             0.00011442
                     18,                 2.4792,                 4.2898,                 1.1825,                 0.1233,                0.09091,                0.03074,                0.01494,                 2.4442,                 14.932,                 1.3878,             9.2477e-05,             9.2477e-05,             9.2477e-05
                     19,                  1.486,                 3.2662,                0.74283,                0.14181,                0.09091,                0.02957,                0.01439,                 2.4227,                  10.53,                 1.3645,              6.723e-05,              6.723e-05,              6.723e-05
                     20,                 1.1391,                  1.765,                0.93249,                0.19362,                0.09091,                0.03187,                0.01572,                 2.3707,                 8.0816,                 1.3364,             3.8683e-05,             3.8683e-05,             3.8683e-05
