                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4306,                  8.013,                0.95805,                      0,                      0,                      0,                      0,                 3.0348,                 16.507,                 1.6625,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.0571,                 14.291,                0.99534,                      0,                      0,                      0,                      0,                 2.9509,                 16.055,                 1.6274,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      3,                 2.4912,                 13.247,                 1.1222,                      0,                      0,                      0,                      0,                 2.8645,                  15.67,                  1.587,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      4,                  1.104,                 13.503,                0.70901,                      0,                      0,                      0,                      0,                 2.8683,                 16.248,                 1.5591,             9.9362e-05,             9.9362e-05,             9.9362e-05
                      5,                 1.3066,                 9.4318,                0.56788,                      0,                      0,                      0,                      0,                 2.9479,                 18.002,                 1.5801,             0.00012032,             0.00012032,             0.00012032
                      6,                 1.6467,                 8.0948,                0.88633,                0.00215,                0.02273,                0.00112,                0.00067,                 2.7885,                 21.422,                 1.5286,             0.00013799,             0.00013799,             0.00013799
                      7,                 1.3189,                 6.6634,                  1.054,                0.00472,                0.04545,                0.00258,                0.00181,                 2.7359,                  17.99,                 1.5135,             0.00015235,             0.00015235,             0.00015235
                      8,                 1.5808,                  9.061,                 0.7017,                0.09073,                0.04545,                0.01119,                0.00317,                 2.8225,                 15.606,                 1.5021,             0.00016341,             0.00016341,             0.00016341
                      9,                 2.2801,                 7.3695,                 1.3805,                0.08464,                0.04545,                0.00793,                0.00266,                 2.9277,                 26.312,                 1.5677,             0.00017117,             0.00017117,             0.00017117
                     10,                 1.0825,                 5.3595,                0.53487,                0.01718,                0.04545,                0.00353,                0.00163,                 2.7719,                 140.84,                 1.5078,             0.00017563,             0.00017563,             0.00017563
                     11,                 1.3049,                 4.6763,                0.66926,                0.00713,                0.06818,                0.00201,                0.00095,                 2.4573,                 320.81,                 1.4059,             0.00017679,             0.00017679,             0.00017679
                     12,                 2.4315,                 5.2272,                 1.1871,                0.00533,                0.06818,                0.00154,                0.00087,                 2.5039,                 439.44,                 1.3578,             0.00017464,             0.00017464,             0.00017464
                     13,                 1.1529,                  3.975,                0.85325,                0.00459,                0.06818,                 0.0015,                0.00082,                 2.3579,                 484.51,                 1.3135,              0.0001692,              0.0001692,              0.0001692
                     14,                  2.096,                 4.7356,                0.99901,                 0.0032,                0.06818,                0.00151,                0.00079,                  2.216,                 535.12,                 1.2693,             0.00016046,             0.00016046,             0.00016046
                     15,                 1.6421,                 3.6429,                0.74274,                0.00331,                0.06818,                0.00165,                0.00103,                  2.155,                 496.71,                 1.2298,             0.00014841,             0.00014841,             0.00014841
                     16,                 1.2638,                 2.5771,                0.99217,                 0.0039,                0.04545,                0.00175,                0.00111,                 2.0969,                 347.07,                 1.1947,             0.00013307,             0.00013307,             0.00013307
                     17,                 2.2284,                 3.9179,                0.92262,                0.00697,                0.04545,                0.00203,                0.00129,                 2.1475,                 177.84,                 1.2116,             0.00011442,             0.00011442,             0.00011442
                     18,                 2.5901,                 3.6253,                 1.1324,                0.01844,                0.04545,                0.00352,                0.00193,                 2.1058,                 95.021,                 1.2038,             9.2477e-05,             9.2477e-05,             9.2477e-05
                     19,                0.67624,                 2.3888,                0.48673,                0.03226,                0.04545,                0.00826,                0.00447,                 2.1479,                 47.347,                 1.2042,              6.723e-05,              6.723e-05,              6.723e-05
                     20,                   1.24,                 2.0461,                0.87456,                0.04575,                0.09091,                0.01112,                0.00604,                 2.0925,                  26.43,                 1.1863,             3.8683e-05,             3.8683e-05,             3.8683e-05
