                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4306,                  8.013,                0.95805,                      0,                      0,                      0,                      0,                 3.0348,                 16.507,                 1.6625,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.0571,                 14.291,                0.99534,                      0,                      0,                      0,                      0,                 2.9509,                 16.055,                 1.6274,              4.803e-05,              4.803e-05,              4.803e-05
                      3,                 2.4912,                 13.247,                 1.1222,                      0,                      0,                      0,                      0,                 2.8645,                  15.67,                  1.587,             7.6749e-05,             7.6749e-05,             7.6749e-05
                      4,                  1.104,                 13.503,                0.70901,                      0,                      0,                      0,                      0,                 2.8683,                 16.248,                 1.5591,             0.00010283,             0.00010283,             0.00010283
                      5,                 1.3066,                 9.4318,                0.56788,                      0,                      0,                      0,                      0,                 2.9337,                 18.545,                 1.5776,             0.00012627,             0.00012627,             0.00012627
                      6,                 1.6445,                 8.1259,                0.89065,                0.00198,                0.02273,                0.00104,                0.00062,                 2.8062,                 22.649,                 1.5347,             0.00014706,             0.00014706,             0.00014706
                      7,                 1.3579,                 6.6566,                 1.0529,                0.00667,                0.06818,                0.00365,                0.00245,                  2.648,                  18.24,                 1.4766,             0.00016522,             0.00016522,             0.00016522
                      8,                 1.6029,                 9.4077,                0.70091,                0.22708,                0.04545,                0.03783,                0.00751,                 2.8108,                  16.56,                 1.5656,             0.00018074,             0.00018074,             0.00018074
                      9,                 2.3531,                 7.9934,                 1.4292,                0.71718,                0.04545,                0.05611,                0.02094,                 2.8315,                 22.842,                 1.5628,             0.00019361,             0.00019361,             0.00019361
                     10,                 1.1667,                 5.5001,                0.56188,                0.07689,                0.04545,                0.01117,                0.00375,                 2.5707,                 26.498,                 1.4932,             0.00020385,             0.00020385,             0.00020385
                     11,                0.91846,                 5.6495,                0.46245,                0.03062,                0.04545,                 0.0056,                0.00228,                 2.5984,                 110.43,                 1.4154,             0.00021144,             0.00021144,             0.00021144
                     12,                 1.0944,                 4.1376,                0.57679,                 0.0058,                0.04545,                0.00214,                0.00102,                 2.7389,                 361.06,                 1.4385,              0.0002164,              0.0002164,              0.0002164
                     13,                 1.6325,                 5.1068,                0.60901,                0.00307,                0.06818,                0.00167,                0.00093,                 2.6395,                 728.88,                 1.4152,             0.00021871,             0.00021871,             0.00021871
                     14,                0.88863,                 3.6872,                0.52387,                0.00175,                0.04545,                0.00082,                0.00036,                 2.5038,                 1478.4,                 1.3532,             0.00021838,             0.00021838,             0.00021838
                     15,                 2.1856,                 3.5626,                0.92892,                0.00132,                0.04545,                0.00069,                0.00024,                 2.4939,                 1598.8,                 1.2865,             0.00021542,             0.00021542,             0.00021542
                     16,                  1.492,                 2.4763,                 1.0383,                0.00316,                0.09091,                0.00172,                0.00076,                  2.493,                    inf,                 1.2962,             0.00020981,             0.00020981,             0.00020981
                     17,                  2.037,                 3.2991,                 0.9093,                0.00394,                0.09091,                0.00215,                0.00133,                 2.3147,                    inf,                  1.244,             0.00020156,             0.00020156,             0.00020156
                     18,                0.54701,                 2.1675,                0.40737,                0.00404,                0.09091,                 0.0022,                0.00142,                 2.3165,                    inf,                 1.2474,             0.00019067,             0.00019067,             0.00019067
                     19,                0.83751,                 2.1552,                0.47578,                0.00388,                0.09091,                0.00213,                0.00148,                 2.3087,                 1540.8,                 1.2473,             0.00017714,             0.00017714,             0.00017714
                     20,                 1.2234,                 2.7677,                0.88243,                0.00677,                0.18182,                0.00401,                0.00194,                 2.4325,                 598.26,                 1.2427,             0.00016097,             0.00016097,             0.00016097
                     21,                0.59435,                 2.3552,                0.43513,                0.00673,                0.09091,                0.00352,                0.00145,                 2.5498,                 112.73,                  1.282,             0.00014216,             0.00014216,             0.00014216
                     22,                 3.2035,                 3.5468,                  1.518,                 0.0587,                0.09091,                0.01929,                 0.0099,                 2.3846,                 12.258,                 1.2416,             0.00012071,             0.00012071,             0.00012071
                     23,                0.52972,                 1.7837,                0.43676,                0.25098,                0.11364,                0.08556,                0.04384,                 2.3867,                 6.2589,                 1.2242,             9.6619e-05,             9.6619e-05,             9.6619e-05
                     24,                  1.604,                  3.741,                0.75614,                0.42369,                0.11364,                0.10321,                0.04688,                 2.4054,                 5.6049,                 1.2136,             6.9887e-05,             6.9887e-05,             6.9887e-05
                     25,                 1.6426,                 3.2415,                0.67301,                0.40122,                0.15909,                0.10032,                0.04444,                 2.4259,                 5.1244,                 1.1995,             4.0515e-05,             4.0515e-05,             4.0515e-05
