                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5736,                 8.0863,                 1.3552,                      0,                      0,                      0,                      0,                 3.8699,                 37.581,                 1.8493,             0.00030006,             0.00030006,             0.00030006
                      2,                 2.1466,                 3.8182,                 1.1239,                0.00942,                0.01504,                0.00138,                0.00032,                 3.4994,                 12.781,                 1.4447,             0.00055573,             0.00055573,             0.00055573
                      3,                 2.4142,                 3.0031,                 1.1384,                0.00034,                0.00752,                 0.0003,                  8e-05,                 3.7511,                 400.16,                 1.7997,             0.00074868,             0.00074868,             0.00074868
                      4,                 2.2761,                 2.7326,                 1.1473,                0.03042,                0.01504,                0.00204,                0.00069,                 3.6833,                 6.1354,                 1.6542,             0.00087893,             0.00087893,             0.00087893
                      5,                 2.3044,                 2.6054,                 1.1386,                0.00346,                0.01504,                0.00026,                 0.0001,                 3.9837,                 236.56,                 1.7593,             0.00094646,             0.00094646,             0.00094646
                      6,                 2.2749,                 2.2277,                 1.1825,                0.00346,                0.01504,                0.00026,                 0.0001,                0.08983,                 1024.7,                 1.7811,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.2552,                 2.3803,                  1.128,                 0.0001,                0.00376,                  6e-05,                  1e-05,                 4.0623,                 7.9658,                 1.7164,             0.00084184,             0.00084184,             0.00084184
                      8,                 2.0686,                 1.9449,                 1.0852,                0.13579,                0.00376,                0.00365,                0.00154,                 3.5324,                 4.4014,                  1.755,              0.0006768,              0.0006768,              0.0006768
                      9,                 2.2237,                 2.0459,                 1.1069,                0.00907,                 0.1015,                0.01996,                0.00745,                 3.3948,                 4.1009,                 1.4171,             0.00051177,             0.00051177,             0.00051177
                     10,                 2.1685,                 1.9364,                  1.066,                0.00907,                 0.1015,                0.01996,                0.00745,                 4.2079,                 5.0509,                 1.4682,             0.00034674,             0.00034674,             0.00034674
