                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0058,                 10.567,                 1.3159,                0.00467,                0.01087,                0.00062,                0.00041,                 2.4324,                 82.132,                 1.5771,             0.00018337,             0.00018337,             0.00018337
                      2,                 2.1297,                 21.378,                 1.2983,                0.00467,                0.01087,                0.00062,                0.00041,                    nan,                    nan,                    nan,             0.00037076,             0.00037076,             0.00037076
                      3,                 1.8434,                 4.6124,                 1.0734,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00054494,             0.00054494,             0.00054494
                      4,                 1.8253,                 3.1386,                 1.0453,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00070592,             0.00070592,             0.00070592
                      5,                 1.8991,                 2.2833,                 1.1013,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0008537,              0.0008537,              0.0008537
                      6,                 2.1228,                  2.053,                 1.1441,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00098828,             0.00098828,             0.00098828
                      7,                 1.8946,                  2.129,                 1.0523,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0011097,              0.0011097,              0.0011097
                      8,                 2.0309,                 2.1491,                 1.1133,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012178,              0.0012178,              0.0012178
                      9,                 1.8463,                 1.7441,                 1.0938,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.9823,                 1.5808,                 1.1095,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.9499,                 1.6244,                  1.035,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.8371,                 1.6823,                 1.0578,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.8195,                 1.7236,                 1.0571,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.7694,                 1.5706,                 1.0373,                0.00018,                 0.0163,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     15,                  1.747,                 1.3807,                 1.0135,                0.05892,                 0.0163,                0.01014,                0.00716,                 2.6942,                 6.2359,                 1.1816,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.6315,                 1.3977,                  0.991,                0.19508,                0.05978,                0.04607,                0.02164,                 2.3181,                 3.3658,                 1.3217,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.7069,                 1.2898,                0.96935,                0.43068,                0.15761,                0.15119,                0.06843,                 1.9989,                 2.1224,                 1.1236,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.8491,                 1.4421,                 1.0466,                 0.3464,                0.13043,                0.13552,                0.06449,                 1.9083,                 2.3735,                 1.1766,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.5691,                 1.4643,                 1.0104,                0.45641,                0.14674,                 0.1637,                0.07539,                 1.9687,                 2.2364,                 1.1067,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.7069,                 1.2387,                 1.0033,                0.58805,                0.23913,                0.28132,                 0.1405,                 1.6647,                 1.5191,                 1.0268,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.6322,                 1.3533,                0.98099,                0.55318,                0.21533,                0.23537,                0.11838,                 1.7159,                 1.6771,                 1.0403,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.5849,                 1.5019,                0.96679,                 0.3909,                0.22283,                0.19323,                0.09981,                 1.5738,                 1.7679,                 1.0312,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.4652,                 1.0684,                0.99718,                0.33998,                0.21196,                0.17633,                0.08314,                 1.5847,                 1.9181,                 1.0271,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.3597,                 1.0345,                0.95981,                0.39832,                0.26087,                0.23859,                0.12636,                 1.3986,                 1.3419,                 0.9557,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.4734,                 1.0816,                0.98622,                0.38545,                0.29348,                0.25905,                 0.1227,                 1.5093,                 1.3318,                 1.0076,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.4278,                 1.0392,                0.93345,                0.38322,                0.32065,                0.27861,                0.13994,                  1.441,                 1.2449,                0.98752,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.3639,                 1.0102,                0.96979,                0.46756,                0.28261,                 0.2749,                0.14264,                  1.401,                  1.189,                 0.9656,             0.00029172,             0.00029172,             0.00029172
                     28,                  1.418,                0.97835,                0.96961,                0.49699,                0.27717,                0.30347,                0.16472,                  1.292,                 1.1168,                0.94833,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.3103,                0.89579,                0.93894,                0.52426,                0.28804,                0.29702,                0.16338,                 1.2607,                 1.0872,                0.93982,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.3818,                0.95256,                 0.9387,                0.52139,                0.30435,                0.29892,                0.16128,                 1.3003,                 1.1006,                0.94256,             0.00012669,             0.00012669,             0.00012669
