                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3345,                 11.581,                 1.4619,                0.00655,                 0.0163,                0.00341,                0.00213,                 2.1127,                 58.195,                 1.3385,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.9771,                 7.3969,                 1.1247,                0.07193,                0.11413,                 0.0238,                0.00986,                 1.7207,                 12.408,                 1.0578,             0.00037076,             0.00037076,             0.00037076
                      3,                 1.7314,                 3.1105,                 1.0297,                0.13899,                0.14674,                0.05369,                0.02451,                 1.6821,                 17.427,                 1.0796,             0.00054494,             0.00054494,             0.00054494
                      4,                 1.8407,                 2.3402,                 1.0422,                0.13899,                0.14674,                0.05369,                0.02451,                    nan,                    nan,                    nan,             0.00070592,             0.00070592,             0.00070592
                      5,                   1.86,                 1.7836,                 1.0663,                0.13899,                0.14674,                0.05369,                0.02451,                    nan,                    nan,                    nan,              0.0008537,              0.0008537,              0.0008537
                      6,                 1.8849,                 1.7989,                 1.0144,                0.13899,                0.14674,                0.05369,                0.02451,                    nan,                    nan,                    nan,             0.00098828,             0.00098828,             0.00098828
                      7,                 1.7655,                 1.9239,                0.98963,                0.00969,                0.00543,                 0.0001,                  3e-05,                  3.813,                 16.156,                 5.2522,              0.0011097,              0.0011097,              0.0011097
                      8,                 1.8439,                 1.4866,                 1.0341,                0.31383,                0.10326,                0.09855,                0.02929,                 2.2849,                 2.5597,                 1.3938,              0.0012178,              0.0012178,              0.0012178
                      9,                  1.633,                 1.3223,                0.99657,                0.45351,                0.15217,                0.15206,                0.07329,                 1.7339,                 1.8961,                 1.0868,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.8286,                 1.4835,                 1.0977,                0.45351,                0.15217,                0.15206,                0.07329,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.7653,                   1.59,                0.99132,                0.45351,                0.15217,                0.15206,                0.07329,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.7368,                 1.2963,                 1.0247,                0.45351,                0.15217,                0.15206,                0.07329,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.7398,                 1.3246,                 1.0257,                0.00106,                0.07609,                0.00043,                0.00015,                 3.5435,                 82.554,                 8.9679,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.7469,                 1.3728,                 1.0349,                0.00017,                 0.0163,                  8e-05,                  3e-05,                 4.0632,                    inf,                 3.9755,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.6118,                 1.1239,                0.97633,                0.00023,                0.02174,                0.00011,                  1e-05,                 4.3591,                    inf,                 5.9244,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.4892,                 1.1491,                0.96225,                0.00012,                0.01087,                  5e-05,                  1e-05,                 4.7365,                    inf,                 5.6922,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.6019,                 1.1516,                0.94602,                0.07476,                0.04891,                  0.008,                0.00205,                 3.6367,                 8.5217,                 1.9405,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.6901,                 1.2872,                 1.0204,                0.04198,                0.05978,                 0.0336,                 0.0178,                 2.6105,                 4.9909,                 1.7755,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.5595,                 1.1721,                 1.0067,                0.44713,                0.18478,                0.21154,                0.10068,                 1.7059,                 1.8767,                 1.0507,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.5596,                 1.0901,                0.96814,                0.47646,                0.20652,                0.24765,                0.11505,                  1.689,                 1.6961,                 1.0226,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.4996,                 1.1912,                0.95588,                0.52454,                0.20109,                0.24204,                0.13014,                 1.5068,                  1.291,                 1.0344,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.4367,                  1.137,                0.94813,                0.45962,                   0.25,                0.26204,                0.14063,                 1.4783,                 1.3614,                  1.001,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.2373,                0.84001,                 0.9447,                0.43073,                0.23913,                0.25587,                 0.1343,                 1.4285,                   1.32,                0.99124,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.2505,                0.83221,                0.92367,                0.58508,                0.22993,                 0.2723,                0.13898,                  1.427,                  1.302,                0.98344,             0.00045676,             0.00045676,             0.00045676
                     25,                  1.289,                0.93911,                 0.9361,                0.58839,                0.26087,                0.31261,                0.15418,                 1.4164,                 1.2782,                0.99069,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.2646,                0.85857,                0.89458,                0.52992,                0.27717,                0.33356,                 0.1687,                 1.3772,                 1.1837,                0.98123,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.3282,                0.86663,                0.95278,                 0.5466,                0.26087,                0.30201,                0.16004,                 1.3275,                 1.3004,                0.96872,             0.00029172,             0.00029172,             0.00029172
                     28,                   1.29,                0.83061,                0.91983,                 0.5841,                0.23913,                0.27567,                 0.1514,                 1.3179,                 1.3373,                 0.9646,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.2612,                0.77953,                0.91975,                0.51345,                   0.25,                0.29427,                0.15757,                 1.2382,                 1.2103,                0.94346,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.2931,                0.79946,                 0.8946,                0.64402,                0.27174,                0.32038,                0.17875,                 1.2571,                 1.0473,                0.93982,             0.00012669,             0.00012669,             0.00012669
