                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.455,                 13.033,                 1.4948,                0.00459,                0.00543,                0.00076,                0.00029,                 2.2912,                  28.06,                 1.4544,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.9523,                  6.109,                 1.1202,                0.08836,                0.10326,                0.01781,                 0.0083,                 1.9155,                 6.2921,                 1.1491,             0.00037076,             0.00037076,             0.00037076
                      3,                 1.6089,                 2.4732,                0.97831,                0.00859,                0.03804,                0.00156,                0.00064,                 1.9335,                 43.612,                 1.1877,             0.00054494,             0.00054494,             0.00054494
                      4,                 1.7699,                 1.9389,                 1.0065,                0.00448,                0.02717,                0.00134,                0.00059,                 2.0664,                 106.37,                  1.329,             0.00070592,             0.00070592,             0.00070592
                      5,                 1.6489,                 1.6532,                 1.0134,                0.01269,                0.10326,                0.00377,                0.00153,                 1.9834,                 209.59,                 1.1941,              0.0008537,              0.0008537,              0.0008537
                      6,                 1.7641,                 1.5232,                0.98936,                0.02356,                0.11957,                0.00657,                0.00229,                 2.0945,                 41.576,                  1.162,             0.00098828,             0.00098828,             0.00098828
                      7,                  1.805,                 1.6026,                 1.0366,                0.13305,                0.09783,                0.04161,                0.02232,                 1.9408,                  3.971,                 1.0874,              0.0011097,              0.0011097,              0.0011097
                      8,                 1.6817,                 1.6677,                 1.0006,                0.24623,                 0.1413,                0.11177,                0.04481,                 1.9684,                 2.3046,                 1.1564,              0.0012178,              0.0012178,              0.0012178
                      9,                 1.5495,                 1.2541,                0.99126,                0.34875,                0.18478,                0.12626,                0.05204,                 1.6265,                 1.7607,                 1.1261,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.6686,                 1.5241,                 1.0233,                0.39672,                0.28804,                0.22519,                0.11685,                  1.417,                 2.3575,                 1.0199,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.6646,                 1.3983,                0.95549,                0.38954,                0.26704,                0.24505,                0.12057,                 1.5255,                 1.3689,                  1.029,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.6171,                 1.2282,                0.98388,                0.39341,                0.14674,                 0.1223,                0.05486,                 1.7158,                 2.7395,                 1.1204,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.5449,                 1.3027,                0.95409,                0.57328,                0.23913,                0.26017,                0.13256,                 1.5807,                  1.794,                 1.0444,              0.0010619,              0.0010619,              0.0010619
                     14,                  1.534,                 1.1192,                0.96263,                0.57697,                0.27174,                0.30915,                0.15243,                 1.5699,                 1.3389,                 1.0575,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.5496,                 1.1671,                  0.949,                0.57014,                0.26087,                0.28575,                0.13565,                 1.4708,                  1.257,                  1.009,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.4223,                 1.0385,                0.93032,                0.40603,                0.28979,                0.27249,                 0.1346,                 1.5105,                 1.2194,                 1.0041,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.5015,                 1.0806,                 0.9318,                0.43589,                0.28804,                0.29174,                0.13743,                 1.5345,                  1.203,                 1.0244,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.6496,                 1.1625,                0.99741,                0.54293,                0.22826,                0.28049,                  0.149,                 1.4319,                 1.3247,                0.99628,             0.00078682,             0.00078682,             0.00078682
                     19,                  1.427,                0.98772,                0.97617,                0.52624,                0.26087,                0.29271,                0.16732,                 1.4394,                 1.2352,                0.98957,             0.00073181,             0.00073181,             0.00073181
                     20,                  1.509,                  1.039,                0.96129,                0.57406,                0.28804,                0.31482,                0.16841,                 1.4541,                 1.2016,                0.99007,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.4423,                 0.9451,                0.96637,                0.56595,                0.34783,                0.37424,                0.18724,                 1.3807,                 1.0667,                0.98387,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.4667,                 1.0293,                0.91491,                0.53624,                0.33152,                0.33166,                0.16914,                 1.3403,                 1.0029,                0.98674,             0.00056678,             0.00056678,             0.00056678
                     23,                  1.339,                 0.8603,                0.95759,                0.54926,                0.28804,                0.30138,                0.15662,                 1.3814,                 1.0065,                0.98645,             0.00051177,             0.00051177,             0.00051177
                     24,                  1.266,                0.80407,                0.92751,                0.46019,                0.26874,                0.26719,                0.13985,                 1.3686,                 1.1806,                0.98163,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.3174,                 0.8379,                0.93671,                0.51445,                0.27065,                0.27252,                0.15675,                 1.3225,                 1.0812,                0.97126,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.2742,                0.80968,                0.89148,                0.54274,                0.27738,                0.29643,                0.16831,                 1.3421,                 1.0325,                 0.9757,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.3301,                0.84724,                0.94765,                0.61298,                   0.25,                0.29463,                0.17312,                 1.2564,                 1.0059,                0.95345,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.2695,                0.82035,                0.91205,                0.53849,                0.27174,                0.31339,                0.18983,                 1.2156,                0.99872,                0.93689,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.2645,                0.74744,                0.91339,                0.59772,                0.25842,                0.31523,                0.18952,                 1.2195,                0.98908,                0.93651,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.2771,                0.79993,                0.90448,                0.57822,                0.29348,                0.33356,                0.19781,                 1.2118,                0.99537,                0.93582,             0.00012669,             0.00012669,             0.00012669
