                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6301,                 4.5173,                 3.0958,                 1.0167,                0.37513,                0.20379,                0.19395,                0.10371,                0.01586,                0.01516,                0.00191,                0.00074,                 1.4928,                 4.2003,                 1.8363,                0.95069,               0.070214,              0.0033095,              0.0033095
                      1,                 1.4879,                 3.7869,                 1.2315,                0.91906,                0.49454,                0.28309,                0.29168,                0.14668,                0.02837,                0.01137,                0.00134,                0.00056,                 1.5728,                 4.2793,                 1.2922,                0.95535,               0.040068,              0.0064967,              0.0064967
                      2,                  1.605,                   3.84,                 1.2423,                0.93582,                0.34926,                0.16725,                0.13704,                0.06255,                0.00871,                0.01191,                0.00111,                 0.0004,                 2.0998,                 4.3947,                 2.6108,                 1.1525,              0.0097753,              0.0095372,              0.0095372
                      3,                 1.7123,                 3.8781,                 1.2656,                0.97566,                0.40758,                0.21434,                0.20103,                0.09804,                0.04913,                0.03302,                0.00444,                 0.0014,                 1.7806,                  4.285,                 1.8444,                 1.0112,                0.00934,                0.00934,                0.00934
                      4,                  1.648,                 3.7716,                 1.2201,                0.96308,                0.37904,                0.22625,                 0.2056,                0.09926,                0.02618,                0.02382,                0.00442,                 0.0017,                 1.8154,                 4.0514,                 1.8919,                 1.0187,                0.00934,                0.00934,                0.00934
                      5,                 1.5846,                 3.7031,                 1.1242,                 0.9492,                0.48756,                 0.2433,                 0.2631,                0.13561,                0.05636,                0.04195,                0.01015,                0.00379,                 1.6504,                 4.0413,                 1.3767,                0.97891,                0.00912,                0.00912,                0.00912
                      6,                 1.5336,                 3.6599,                 1.0579,                0.93335,                0.51713,                0.25575,                0.27421,                0.14425,                0.04221,                0.03383,                0.01055,                0.00567,                 1.5824,                 3.8448,                 1.2089,                0.96737,                 0.0089,                 0.0089,                 0.0089
                      7,                 1.4849,                 3.6711,                 1.0008,                0.92111,                0.50706,                0.27442,                0.29157,                0.15135,                0.03184,                  0.023,                0.00618,                0.00265,                 1.5909,                 3.9835,                 1.2339,                0.95034,                0.00868,                0.00868,                0.00868
                      8,                 1.4623,                 3.5593,                0.94871,                0.91359,                0.52469,                0.24141,                0.28376,                0.15143,                0.05244,                0.02706,                0.01037,                0.00473,                 1.5495,                 3.8752,                 1.4152,                0.94567,                0.00846,                0.00846,                0.00846
                      9,                 1.4231,                 3.4817,                0.91863,                0.89788,                0.57115,                0.28877,                0.33139,                0.17698,                0.06309,                0.03843,                0.00957,                0.00369,                 1.5149,                  3.885,                 1.0807,                0.93313,                0.00824,                0.00824,                0.00824
