                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5679,                 4.8549,                 2.7041,                  1.098,                0.57999,                  0.227,                0.28379,                0.15862,                0.14824,                0.06401,                0.02901,                 0.0092,                 1.5619,                   4.29,                 1.7334,                 1.0499,               0.070185,              0.0033128,              0.0033128
                      1,                 1.4431,                 4.1335,                 1.3343,                 1.0022,                0.43931,                0.28187,                0.26268,                0.13339,                0.05574,                0.06166,                0.00752,                 0.0021,                 1.7036,                 4.4561,                  1.896,                 1.0562,               0.040119,              0.0065803,              0.0065803
                      2,                 1.4828,                 4.1363,                 1.3135,                 1.0032,                0.47825,                0.20907,                0.21915,                0.10942,                0.03579,                0.05003,                0.00585,                 0.0018,                 1.6832,                 4.5779,                 2.0384,                 1.0915,              0.0099876,              0.0097818,              0.0097818
                      3,                 1.5733,                 4.2104,                 1.3726,                 1.0465,                0.47468,                0.28349,                0.29206,                0.14008,                0.03689,                 0.0468,                0.00483,                0.00127,                 1.8396,                 4.3323,                  1.757,                 1.1264,               0.009703,               0.009703,               0.009703
                      4,                 1.5583,                 4.1576,                 1.2866,                 1.0428,                0.53742,                0.35664,                0.38298,                0.20203,                0.10557,                0.08123,                0.01731,                0.00507,                 1.5974,                 4.1206,                 1.3327,                 1.0622,               0.009703,               0.009703,               0.009703
                      5,                 1.5346,                 4.1142,                 1.2294,                 1.0329,                0.60528,                0.33984,                0.38509,                0.20241,                0.03623,                0.03658,                0.00444,                0.00138,                 1.5047,                 4.2599,                 1.3045,                 1.0151,               0.009604,               0.009604,               0.009604
                      6,                 1.4999,                 4.1004,                 1.1784,                 1.0185,                0.48076,                0.27488,                0.29317,                0.15661,                0.08671,                0.06563,                0.01619,                0.00548,                 1.5837,                 4.3406,                 1.6538,                 1.0387,               0.009505,               0.009505,               0.009505
                      7,                 1.4998,                 4.0731,                  1.154,                 1.0217,                0.53949,                0.33405,                0.36719,                0.18777,                0.12391,                0.07692,                 0.0214,                0.00605,                 1.6217,                  4.172,                 1.3183,                 1.0497,               0.009406,               0.009406,               0.009406
                      8,                 1.4952,                 4.0192,                 1.1403,                 1.0309,                0.49363,                0.34051,                 0.3764,                0.20252,                0.12731,                0.09252,                0.02893,                0.00861,                 1.5164,                 4.1795,                 1.2962,                 1.0256,               0.009307,               0.009307,               0.009307
                      9,                 1.4654,                 3.9443,                    1.1,                 1.0189,                0.55543,                0.32975,                0.38188,                0.21187,                 0.1304,                0.08392,                0.02692,                0.00921,                 1.5326,                 4.0986,                 1.2521,                 1.0319,               0.009208,               0.009208,               0.009208
