                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5446,                 5.1481,                 2.8528,                 1.0943,                0.67822,                0.23219,                0.29591,                0.16228,                0.12665,                0.04644,                0.01461,                0.00456,                 1.4561,                 4.3065,                 1.7583,                0.99067,               0.070385,              0.0032906,              0.0032906
                      1,                 1.2465,                 3.8678,                 1.0629,                0.92788,                0.64171,                0.36429,                0.41141,                0.24252,                0.27155,                0.15773,                0.06957,                0.02407,                 1.3325,                 4.0564,                  1.142,                0.94317,               0.040275,              0.0065146,              0.0065146
                      2,                 1.3095,                  3.753,                 1.0037,                0.94252,                0.53009,                0.31065,                0.33601,                0.18981,                0.15642,                0.08247,                 0.0258,                0.00865,                 1.5133,                 4.7604,                 2.0958,                 1.0048,               0.010056,              0.0096287,              0.0096287
                      3,                 1.3556,                 3.8036,                0.98081,                0.95067,                0.61258,                0.27702,                0.31017,                0.17096,                0.10251,                0.06405,                0.01539,                0.00665,                 1.5843,                 4.7286,                 1.8266,                 1.0457,               0.009505,               0.009505,               0.009505
                      4,                 1.3697,                 3.7595,                0.90716,                0.95579,                  0.645,                0.28503,                0.31371,                0.17324,                0.09673,                0.06645,                0.01641,                0.00714,                 1.5226,                 4.1794,                 1.7831,                 1.0161,               0.009505,               0.009505,               0.009505
                      5,                 1.2997,                 3.6481,                0.84671,                 0.9358,                0.64847,                0.38591,                0.42221,                0.23322,                0.13686,                0.08086,                 0.0189,                0.00619,                 1.4211,                 4.2096,                 1.1121,                0.96881,                0.00934,                0.00934,                0.00934
                      6,                  1.281,                 3.5838,                0.80906,                0.93173,                 0.7051,                0.34187,                0.44203,                0.26004,                0.22508,                 0.1305,                0.06374,                0.02355,                 1.3853,                 4.2399,                  1.097,                0.94517,               0.009175,               0.009175,               0.009175
                      7,                 1.2515,                 3.5537,                0.78395,                0.92334,                 0.6641,                0.36349,                0.44385,                0.25392,                0.12334,                0.08006,                 0.0235,                0.00834,                 1.4418,                 4.1972,                 1.0324,                0.97621,                0.00901,                0.00901,                0.00901
                      8,                 1.2332,                 3.4813,                0.74079,                0.92966,                0.72186,                0.38911,                0.46211,                0.27233,                0.14712,                0.09367,                0.02604,                0.01034,                 1.3677,                 4.1827,                0.87866,                0.95972,               0.008845,               0.008845,               0.008845
                      9,                 1.2018,                 3.4368,                0.72293,                0.91304,                0.68124,                0.36959,                0.44936,                0.27188,                0.16076,                0.10729,                0.03423,                0.01435,                 1.3607,                 3.8058,                0.89456,                0.96544,                0.00868,                0.00868,                0.00868
                     10,                 1.1745,                 3.3808,                0.69163,                0.90259,                0.78522,                 0.3747,                0.47013,                0.28519,                0.16917,                0.08407,                 0.0261,                0.01033,                 1.3254,                 4.0316,                0.81133,                 0.9467,               0.008515,               0.008515,               0.008515
                     11,                  1.167,                 3.2515,                0.68819,                0.90386,                0.75533,                0.35548,                0.45179,                0.27647,                 0.2194,                0.13531,                0.05281,                0.02186,                 1.3106,                 3.9588,                0.82333,                0.93433,                0.00835,                0.00835,                0.00835
                     12,                 1.1458,                 3.2764,                0.67088,                0.89414,                0.68277,                0.39952,                0.47588,                0.29144,                0.21747,                0.11529,                0.04577,                0.01673,                  1.326,                 3.9551,                0.82577,                0.94416,               0.008185,               0.008185,               0.008185
                     13,                 1.1185,                 3.2523,                0.65132,                0.88651,                0.77881,                 0.3811,                0.46934,                0.29197,                0.18817,                0.11849,                 0.0434,                 0.0174,                 1.2923,                 3.8504,                0.76065,                0.92461,                0.00802,                0.00802,                0.00802
                     14,                 1.0983,                 3.1534,                0.63847,                0.88256,                0.75134,                0.35629,                0.43758,                0.26161,                0.19008,                0.09367,                0.03297,                0.01259,                 1.3689,                 3.9996,                0.87958,                  0.971,               0.007855,               0.007855,               0.007855
                     15,                 1.0962,                 3.1004,                0.62584,                0.88368,                0.79773,                0.38911,                0.51071,                0.31057,                0.30258,                0.15532,                0.08063,                0.03488,                 1.2437,                 3.8388,                0.71545,                0.91947,                0.00769,                0.00769,                0.00769
                     16,                 1.0912,                 3.1294,                0.61805,                0.87932,                0.80718,                0.39549,                0.51663,                0.31578,                0.28442,                0.13691,                 0.0746,                0.02971,                 1.2833,                  3.801,                0.72999,                0.92927,               0.007525,               0.007525,               0.007525
                     17,                 1.0754,                 3.1202,                0.60407,                0.87452,                0.72493,                 0.4178,                0.50824,                0.29632,                0.27728,                0.13691,                0.06547,                0.02582,                 1.3116,                 3.7992,                0.76744,                0.94944,                0.00736,                0.00736,                0.00736
                     18,                 1.0489,                  3.108,                0.59721,                0.86885,                0.84555,                 0.3779,                0.49065,                0.30992,                0.27015,                0.14331,                0.06352,                0.02654,                 1.2574,                 3.6798,                0.71945,                0.92196,               0.007195,               0.007195,               0.007195
                     19,                 1.0366,                  3.048,                 0.5795,                0.87314,                0.72482,                 0.3747,                0.49021,                0.29562,                0.22724,                0.10889,                0.05388,                0.02127,                 1.2972,                 3.8809,                0.90464,                0.93523,                0.00703,                0.00703,                0.00703
                     20,                 1.0181,                 3.0583,                0.56796,                0.86271,                0.73365,                0.43395,                0.55791,                 0.3419,                 0.2872,                0.15853,                0.08651,                0.03667,                 1.2727,                 3.9308,                0.71494,                0.91801,               0.006865,               0.006865,               0.006865
                     21,                0.99612,                 2.9118,                0.55127,                0.85356,                0.75148,                0.42434,                 0.5714,                0.34756,                0.28295,                0.13291,                0.08458,                0.03655,                 1.2778,                 3.8636,                0.76164,                0.93848,                 0.0067,                 0.0067,                 0.0067
                     22,                0.98848,                 2.9336,                0.55086,                0.85626,                0.75849,                0.40112,                0.52559,                0.32293,                0.33906,                0.15132,                0.10038,                0.04142,                 1.2553,                 4.0415,                0.72967,                0.92816,               0.006535,               0.006535,               0.006535
                     23,                0.98276,                 2.9207,                0.54096,                0.85428,                0.73935,                0.44739,                 0.5527,                0.34027,                0.24967,                 0.1201,                 0.0567,                0.02403,                 1.2512,                 3.7533,                0.65768,                0.92561,                0.00637,                0.00637,                0.00637
                     24,                0.96206,                 2.8945,                0.53542,                0.84521,                0.82771,                0.42834,                0.55356,                0.34074,                0.29247,                0.13451,                0.07476,                0.03449,                 1.2502,                 3.6998,                0.65473,                0.92204,               0.006205,               0.006205,               0.006205
