                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6578,                 4.3729,                  3.164,                 1.0338,                0.43932,                0.19974,                0.20542,                  0.107,                0.09814,                0.05714,                0.01499,                0.00412,                 1.5813,                 3.9659,                 1.5268,                0.95559,               0.070222,              0.0033086,              0.0033086
                      1,                 1.5116,                 3.6822,                 1.2465,                0.92995,                0.46722,                0.24916,                0.25487,                0.13403,                0.03085,                0.02677,                0.00857,                0.00572,                 1.5443,                 4.0776,                 1.3861,                0.94753,               0.040058,              0.0064776,              0.0064776
                      2,                 1.6027,                  3.704,                 1.2419,                0.94577,                0.43498,                0.21956,                0.19502,                0.08945,                0.02183,                0.01699,                 0.0012,                 0.0005,                 1.8233,                 4.0282,                 3.1317,                 1.0375,              0.0097284,              0.0094815,              0.0094815
                      3,                 1.6905,                 3.7345,                 1.2728,                 0.9731,                0.39407,                0.20412,                0.20161,                0.09626,                0.03143,                0.01673,                0.00171,                0.00059,                 1.8129,                 4.0659,                 1.8431,                 1.0045,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.6519,                 3.7343,                 1.2066,                0.96312,                0.49218,                0.25019,                0.26019,                 0.1319,                0.04357,                0.04324,                0.00741,                0.00279,                 1.6834,                 4.0462,                 1.3457,                0.98294,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.5929,                 3.6734,                 1.1192,                 0.9474,                0.42558,                0.20206,                0.20026,                 0.0965,                 0.0338,                0.01982,                0.00516,                0.00178,                 1.7886,                 3.8925,                 1.8955,                 1.0221,                0.00901,                0.00901,                0.00901
                      6,                 1.5293,                 3.6579,                 1.0606,                0.93086,                0.48404,                0.26898,                0.28065,                0.14869,                0.04132,                0.03269,                0.00592,                0.00241,                 1.5837,                 3.8356,                 1.1865,                0.97068,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.5034,                 3.5799,                 1.0055,                0.92091,                0.52334,                0.24427,                0.27273,                0.14778,                0.04669,                0.03501,                 0.0076,                0.00294,                 1.5658,                 3.9519,                 1.2908,                0.94446,               0.008515,               0.008515,               0.008515
                      8,                  1.464,                 3.4711,                0.96675,                0.91563,                0.50894,                0.29266,                0.31256,                0.16551,                0.04312,                0.03449,                0.00569,                0.00237,                   1.46,                 3.8468,                 1.0289,                 0.9365,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.4263,                 3.4786,                0.90961,                0.90422,                0.55551,                0.28494,                0.32303,                0.17324,                0.07498,                0.04505,                0.01314,                0.00551,                 1.5219,                 3.9248,                 1.0655,                0.94215,                0.00802,                0.00802,                0.00802
                     10,                 1.3903,                 3.4321,                0.88236,                0.89502,                0.56074,                0.29395,                0.32919,                0.17474,                0.05367,                 0.0381,                0.01007,                0.00407,                 1.5154,                 3.8527,                 1.0619,                0.93646,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.3737,                 3.3738,                0.85106,                 0.8926,                 0.5667,                0.30862,                0.35691,                0.19732,                0.08328,                0.05508,                0.02089,                 0.0099,                 1.3779,                 3.8098,                0.92023,                0.91142,               0.007525,               0.007525,               0.007525
                     12,                 1.3416,                 3.3395,                 0.8307,                0.88697,                0.56885,                0.30502,                0.34863,                0.19139,                 0.1459,                0.09241,                0.03383,                0.01246,                 1.4355,                 3.9534,                0.98285,                0.92152,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.3171,                 3.3341,                0.82721,                0.87984,                0.61491,                0.29344,                0.34794,                0.19471,                0.10863,                0.06873,                0.02034,                0.00768,                 1.3529,                 3.8379,                0.89521,                0.90796,                0.00703,                0.00703,                0.00703
                     14,                 1.3026,                 3.2566,                0.79646,                0.87484,                0.56727,                0.29266,                0.33696,                0.18713,                0.10912,                0.06435,                0.02027,                0.00802,                 1.3658,                 3.6594,                0.89989,                0.90532,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.2774,                 3.1415,                0.77938,                0.87002,                0.62543,                0.25142,                 0.3112,                0.17447,                0.16217,                 0.0695,                0.03411,                0.01284,                 1.4185,                 3.9719,                 1.1864,                 0.9178,               0.006535,               0.006535,               0.006535
                     16,                 1.2654,                 3.2189,                0.75728,                0.87202,                 0.6062,                0.29322,                0.35003,                0.19585,                0.10902,                0.06023,                0.02002,                0.00779,                 1.3903,                 3.8555,                 0.9619,                0.91722,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.2436,                 3.1204,                 0.7349,                 0.8646,                 0.6163,                0.29726,                0.35517,                0.20256,                0.12799,                0.07387,                0.02599,                0.01067,                 1.3203,                 3.6692,                0.85817,                0.89993,                0.00604,                0.00604,                0.00604
                     18,                 1.2181,                 3.0736,                0.70948,                0.85969,                0.62363,                0.28571,                0.36889,                0.21118,                 0.1163,                 0.0592,                0.02752,                0.01128,                 1.3895,                 3.7771,                0.94304,                0.90922,              0.0057925,              0.0057925,              0.0057925
