                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5892,                 5.1849,                 2.9406,                 1.1188,                0.48277,                0.27302,                0.26672,                 0.1615,                0.08892,                0.07206,                0.01205,                0.00372,                 1.5248,                 4.4224,                 1.9187,                 1.0264,               0.070385,              0.0032906,              0.0032906
                      1,                 1.3222,                 4.0662,                 1.2323,                0.95275,                  0.461,                0.31089,                0.30927,                0.18232,                0.12645,                0.10248,                0.02531,                0.00773,                 1.4354,                 4.2776,                 1.5167,                0.98036,               0.040275,              0.0065146,              0.0065146
                      2,                 1.3928,                 4.0363,                 1.1773,                0.96382,                 0.5041,                0.29625,                0.32307,                0.17457,                0.16137,                0.10328,                0.03205,                0.01024,                 1.5484,                 4.6316,                 1.6281,                  1.014,               0.010056,              0.0096287,              0.0096287
                      3,                 1.4899,                 4.0815,                 1.2225,                0.99542,                0.58558,                0.25907,                0.27213,                0.13145,                 0.0493,                0.04003,                0.00602,                0.00161,                 1.8559,                 4.7433,                 1.9961,                 1.0797,               0.009505,               0.009505,               0.009505
                      4,                 1.4797,                 4.0064,                 1.1103,                 1.0017,                0.49977,                0.29624,                0.29374,                0.16414,                0.02656,                0.02562,                0.00211,                0.00075,                  1.549,                 4.6149,                 1.9645,                 1.0114,               0.009505,               0.009505,               0.009505
                      5,                 1.4576,                  4.006,                 1.0778,                0.99148,                0.47899,                0.27782,                0.29651,                0.14884,                0.07806,                0.06725,                0.01486,                0.00474,                 1.6943,                 4.4935,                 1.8384,                 1.0269,                0.00934,                0.00934,                0.00934
                      6,                  1.425,                   3.96,                 1.0413,                0.98212,                0.49568,                0.27385,                0.29636,                0.16677,                0.20797,                 0.1281,                0.05279,                0.01918,                 1.6471,                   4.43,                 1.5872,                 1.0179,               0.009175,               0.009175,               0.009175
                      7,                 1.4325,                 3.8638,                 1.0168,                 0.9871,                0.52797,                0.34668,                0.36112,                0.19069,                0.07673,                0.07206,                 0.0125,                0.00389,                 1.6255,                 4.5324,                 1.4109,                 1.0222,                0.00901,                0.00901,                0.00901
                      8,                 1.3927,                 3.8949,                0.98721,                0.97089,                0.47877,                0.29784,                0.33402,                0.17808,                0.08872,                0.08006,                0.02156,                0.00825,                 1.6303,                 4.5821,                 1.4082,                 1.0539,               0.008845,               0.008845,               0.008845
                      9,                 1.3646,                 3.8403,                0.97335,                0.96659,                0.53751,                0.36829,                0.39463,                0.22914,                0.22427,                0.15132,                0.06556,                0.02396,                 1.4783,                 4.1092,                 1.1605,                0.99211,                0.00868,                0.00868,                0.00868
