                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4405,                 2.8708,                 2.7744,                0.83861,                0.00866,                0.29096,                0.01119,                0.00448,                0.00907,                0.30475,                0.01126,                0.00391,                 2.3241,                 3.7166,                  3.454,                 1.3442,               0.066706,             3.3327e-05,             3.3327e-05
                      1,                 1.4616,                 2.5863,                 2.3364,                0.83377,                0.15617,                0.04733,                0.04596,                0.02268,                0.16123,                0.04886,                0.04579,                0.01891,                 2.2348,                 3.2785,                  3.171,                 1.2718,               0.033406,             6.5994e-05,             6.5994e-05
                      2,                 1.4743,                 2.4508,                 2.1546,                0.83174,                0.23241,                0.13323,                0.10557,                0.05108,                0.22974,                 0.1317,                0.10378,                 0.0433,                 2.2322,                 3.1047,                  2.883,                 1.2708,             0.00010437,             9.7994e-05,             9.7994e-05
                      3,                 1.4765,                 2.2878,                 1.9536,                0.82368,                0.33112,                0.19449,                0.17157,                0.07918,                0.33304,                0.18989,                0.16684,                0.06529,                 2.1594,                 2.8333,                 2.6221,                 1.2156,                9.7e-05,                9.7e-05,                9.7e-05
                      4,                 1.4826,                 2.2308,                 1.8336,                0.81908,                0.44825,                0.27718,                0.25941,                0.11699,                0.41744,                0.26493,                 0.2383,                0.09138,                 2.0896,                 2.6525,                 2.3681,                 1.1876,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                 1.4508,                 2.1475,                 1.7162,                 0.8038,                0.46191,                0.29709,                0.27533,                 0.1294,                0.47642,                0.28484,                0.26043,                0.10168,                 2.0802,                 2.5791,                 2.3428,                 1.1756,                9.6e-05,                9.6e-05,                9.6e-05
                      6,                  1.465,                 2.1009,                 1.6669,                0.80046,                0.50627,                0.30621,                0.30863,                0.13878,                0.47336,                 0.2863,                0.27155,                0.10511,                 2.0225,                 2.5224,                 2.3204,                 1.1464,                9.5e-05,                9.5e-05,                9.5e-05
                      7,                 1.4331,                 2.0288,                 1.5994,                0.78046,                0.50109,                  0.343,                 0.3105,                0.14087,                0.48675,                0.31853,                0.28548,                0.10627,                 2.0086,                 2.4889,                 2.2427,                 1.1213,             9.4001e-05,             9.4001e-05,             9.4001e-05
                      8,                 1.4415,                 2.0947,                 1.5663,                0.78251,                0.52084,                0.34916,                0.33253,                0.15102,                0.50028,                0.33538,                0.30913,                0.11481,                 1.9938,                 2.4874,                 2.1799,                 1.1071,             9.3001e-05,             9.3001e-05,             9.3001e-05
                      9,                 1.3866,                 1.9355,                  1.499,                0.75317,                0.51886,                0.36141,                0.34552,                0.16038,                0.50272,                0.34763,                0.32389,                0.12038,                 1.9393,                  2.419,                    2.1,                  1.071,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     10,                 1.3838,                 1.9832,                 1.4483,                0.74287,                0.56123,                0.37825,                0.36975,                0.17666,                 0.5337,                0.35756,                0.33733,                0.13365,                 1.9307,                 2.4064,                 2.0693,                 1.0592,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     11,                 1.3699,                 1.9843,                 1.4062,                0.73566,                0.56424,                0.35891,                0.36997,                0.17699,                0.54514,                0.34456,                0.34693,                0.13338,                 1.8815,                 2.4306,                 2.1108,                 1.0515,             9.0001e-05,             9.0001e-05,             9.0001e-05
                     12,                  1.374,                 1.9885,                 1.4042,                0.73067,                0.56341,                0.38141,                0.37103,                 0.1786,                0.53174,                0.35997,                0.34718,                0.13593,                 1.8822,                 2.4266,                 2.0708,                 1.0328,             8.9001e-05,             8.9001e-05,             8.9001e-05
                     13,                 1.3543,                 1.9182,                 1.3466,                0.71382,                0.55564,                0.35681,                0.36683,                0.18243,                0.53312,                0.35069,                0.34775,                0.13913,                 1.8564,                 2.4042,                 2.0884,                 1.0289,             8.8001e-05,             8.8001e-05,             8.8001e-05
                     14,                 1.3612,                 1.9638,                 1.3451,                0.71464,                0.52276,                0.39816,                 0.3778,                0.18261,                0.52351,                0.36447,                 0.3524,                0.13988,                 1.8564,                 2.4275,                 2.0528,                 1.0106,             8.7001e-05,             8.7001e-05,             8.7001e-05
                     15,                 1.3468,                 1.9261,                  1.307,                 0.7057,                 0.5728,                0.42266,                0.41172,                0.19393,                0.55041,                0.40123,                0.38708,                0.14915,                 1.8711,                 2.4327,                 1.9142,                 1.0054,             8.6001e-05,             8.6001e-05,             8.6001e-05
                     16,                 1.3518,                 1.9257,                 1.2966,                0.70883,                0.56027,                0.42113,                0.41789,                0.20309,                0.52894,                0.39051,                0.38271,                0.15033,                 1.8389,                 2.3605,                 1.9456,                 1.0018,             8.5002e-05,             8.5002e-05,             8.5002e-05
                     17,                  1.321,                 1.8956,                 1.2676,                0.70222,                0.55899,                 0.4251,                0.41884,                0.19701,                0.54047,                0.39051,                0.38113,                0.14351,                 1.8492,                 2.3843,                 1.8953,                 1.0022,             8.4002e-05,             8.4002e-05,             8.4002e-05
                     18,                 1.3136,                 1.9003,                 1.2334,                0.69093,                0.56869,                0.43492,                0.42706,                0.20545,                0.55433,                 0.3981,                0.38987,                0.15067,                 1.8221,                 2.4021,                 1.8544,                0.99466,             8.3002e-05,             8.3002e-05,             8.3002e-05
                     19,                 1.3137,                 1.9062,                 1.2247,                0.69069,                0.53204,                0.41438,                0.40687,                0.19488,                0.52612,                0.36294,                0.36889,                0.14816,                 1.8489,                 2.3757,                 1.9473,                0.99743,             8.2002e-05,             8.2002e-05,             8.2002e-05
                     20,                  1.289,                 1.8508,                 1.1969,                0.68505,                0.52919,                 0.3951,                0.39114,                0.19385,                0.50981,                0.35995,                0.35613,                0.14545,                 1.8369,                 2.3704,                 1.9936,                0.99879,             8.1002e-05,             8.1002e-05,             8.1002e-05
                     21,                 1.2967,                 1.8575,                  1.186,                 0.6879,                0.52388,                 0.4196,                0.39366,                0.19826,                0.52476,                0.37672,                0.35586,                0.14162,                 1.7888,                 2.4045,                 1.9861,                0.98754,             8.0002e-05,             8.0002e-05,             8.0002e-05
                     22,                  1.317,                 1.8762,                 1.1694,                0.68801,                 0.5578,                0.42692,                0.42015,                0.20589,                0.50578,                 0.3871,                0.37809,                0.15276,                 1.8185,                  2.401,                 1.8739,                0.98935,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     23,                 1.3057,                 1.8542,                 1.1663,                0.67996,                0.54875,                0.45254,                0.41463,                0.20345,                0.50418,                0.41578,                0.37268,                0.14493,                 1.8129,                 2.4017,                  1.886,                0.98259,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     24,                  1.297,                 1.8822,                 1.1631,                0.68469,                0.50111,                0.47993,                0.43406,                0.21787,                0.59984,                0.35222,                0.38183,                0.15497,                 1.7609,                 2.3592,                 1.8647,                0.97637,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     25,                 1.2975,                 1.8418,                 1.1363,                0.67453,                0.54173,                0.47473,                0.43357,                0.20751,                0.50325,                0.43338,                0.39584,                0.15403,                 1.8508,                 2.4087,                 1.8009,                0.98549,             7.6002e-05,             7.6002e-05,             7.6002e-05
                     26,                 1.2894,                 1.8833,                 1.1192,                0.67918,                0.53956,                 0.4271,                 0.4201,                0.20998,                0.53345,                0.36447,                0.37646,                0.14898,                 1.7975,                 2.3534,                 1.9393,                 0.9762,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     27,                 1.3023,                 1.8165,                 1.1282,                0.68542,                0.53759,                0.45176,                0.43332,                0.21836,                0.50287,                0.40741,                0.37841,                0.15254,                 1.7833,                  2.333,                  1.855,                 0.9734,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     28,                 1.2858,                 1.8539,                 1.0978,                0.67115,                0.53035,                0.48594,                0.43533,                0.22146,                0.48021,                0.43999,                0.37854,                0.15004,                 1.7674,                 2.3324,                 1.8501,                0.96938,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     29,                  1.296,                 1.8622,                 1.1015,                0.67719,                0.53837,                0.49158,                0.44275,                0.21923,                 0.4942,                0.43645,                0.38053,                0.14737,                 1.7835,                 2.3272,                 1.8265,                  0.967,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     30,                 1.2768,                 1.8071,                 1.0841,                0.67004,                0.51833,                0.45942,                0.42117,                0.21209,                0.48372,                0.42113,                0.36941,                0.14348,                 1.7841,                 2.3398,                 1.8816,                0.96543,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     31,                 1.2814,                 1.8256,                 1.0731,                0.67185,                  0.528,                 0.4441,                 0.4295,                0.21874,                0.49655,                0.40327,                0.36518,                0.14569,                 1.7525,                 2.3089,                 1.8774,                0.96575,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     32,                 1.2603,                 1.8469,                 1.0554,                0.66721,                0.50759,                0.44717,                0.41261,                0.21348,                0.47868,                0.39663,                0.35262,                0.14055,                 1.7671,                 2.3375,                 1.9445,                0.96333,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     33,                 1.2709,                 1.8147,                 1.0477,                0.66657,                0.48904,                0.43032,                0.39007,                0.19913,                0.52912,                0.33997,                0.33113,                0.12977,                 1.7726,                 2.3353,                 1.9668,                0.96428,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     34,                 1.2727,                 1.8526,                 1.0307,                0.66463,                0.52053,                0.46708,                0.44265,                0.22512,                0.52513,                 0.3951,                0.37805,                0.15026,                 1.7756,                 2.3421,                 1.8617,                0.96432,             6.7003e-05,             6.7003e-05,             6.7003e-05
                     35,                 1.2915,                 1.8629,                 1.0496,                0.68329,                0.53549,                0.43185,                 0.4084,                  0.211,                0.47343,                0.38965,                 0.3435,                 0.1343,                 1.7806,                 2.3168,                 1.9153,                0.96276,             6.6003e-05,             6.6003e-05,             6.6003e-05
