                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6262,                 2.9605,                 6.2957,                 1.6622,                0.09164,                0.03675,                0.02227,                0.00941,                0.08667,                0.03369,                0.02157,                0.00804,                 2.3053,                 3.4011,                  3.589,                 1.4713,               0.066751,             3.3282e-05,             3.3282e-05
                      1,                 2.3088,                 2.5628,                 3.7104,                 1.4814,                0.22176,                0.12557,                0.09711,                 0.0495,                0.22976,                0.12711,                0.09798,                0.04111,                 2.0932,                 3.0501,                 2.8324,                 1.3382,                0.03345,              6.595e-05,              6.595e-05
                      2,                  2.207,                 2.3358,                 3.1543,                 1.4374,                0.34201,                0.23277,                0.19124,                 0.0921,                0.34184,                 0.2343,                0.19212,                0.07509,                 2.0159,                 2.8851,                  2.348,                 1.2921,             0.00014892,              9.795e-05,              9.795e-05
                      3,                 2.1005,                 2.2908,                 2.7172,                 1.3649,                0.46674,                 0.2879,                0.29057,                0.13728,                0.48322,                 0.2879,                0.28807,                0.11199,                 1.9507,                  2.669,                 2.1067,                 1.2534,                9.7e-05,                9.7e-05,                9.7e-05
                      4,                 2.0793,                 2.2194,                  2.478,                 1.3335,                0.44534,                0.32925,                0.31531,                0.14453,                0.45164,                0.32466,                0.30781,                0.12049,                 1.9421,                 2.5727,                 1.9443,                 1.2375,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                 2.0193,                 2.0995,                 2.3327,                 1.3034,                0.49926,                0.35988,                0.35271,                0.16482,                0.49586,                0.35222,                0.34582,                0.13082,                 1.8485,                 2.5551,                 1.8512,                 1.1871,                9.6e-05,                9.6e-05,                9.6e-05
                      6,                 1.9888,                 2.1284,                 2.2189,                 1.2825,                0.54404,                0.41654,                0.39064,                0.18915,                0.51774,                0.40123,                0.37421,                0.14389,                 1.8039,                 2.4772,                 1.7652,                 1.1718,                9.5e-05,                9.5e-05,                9.5e-05
                      7,                 1.9391,                 2.0623,                 2.0701,                 1.2277,                0.53885,                0.42588,                0.41558,                 0.2064,                0.52728,                0.42113,                 0.4074,                0.16142,                 1.7084,                  2.449,                 1.6721,                 1.1137,             9.4001e-05,             9.4001e-05,             9.4001e-05
                      8,                 1.9089,                 2.0637,                  1.995,                 1.2106,                0.53636,                0.43492,                0.42452,                0.20202,                0.51548,                 0.4196,                0.40733,                0.16042,                 1.7278,                 2.4964,                 1.6319,                 1.1131,             9.3001e-05,             9.3001e-05,             9.3001e-05
                      9,                 1.8597,                 2.0176,                 1.9162,                 1.1741,                0.56333,                 0.4441,                0.44562,                0.21986,                 0.5371,                0.43533,                0.42998,                0.16286,                 1.6641,                 2.4618,                 1.5668,                  1.075,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     10,                 1.8334,                 2.0329,                 1.9085,                 1.1686,                0.60018,                0.46861,                0.45969,                0.21943,                0.60208,                 0.4333,                0.43391,                0.16415,                 1.6319,                 2.4452,                 1.5587,                  1.053,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     11,                 1.8024,                 2.0854,                 1.8283,                 1.1525,                0.61211,                0.47123,                0.47573,                0.22606,                 0.6143,                0.45023,                0.44718,                0.17066,                 1.6225,                 2.4293,                 1.5243,                 1.0438,             9.0001e-05,             9.0001e-05,             9.0001e-05
                     12,                  1.817,                 1.9539,                 1.8339,                 1.1344,                0.59006,                0.46708,                0.47502,                0.23679,                0.60632,                0.45023,                0.45745,                0.18108,                 1.6078,                 2.4538,                 1.4776,                 1.0332,             8.9001e-05,             8.9001e-05,             8.9001e-05
                     13,                 1.7846,                  1.976,                 1.7583,                 1.1144,                0.63083,                0.46095,                0.48706,                0.24153,                0.61683,                0.45023,                0.46346,                0.18069,                  1.581,                 2.4078,                 1.4369,                 1.0131,             8.8001e-05,             8.8001e-05,             8.8001e-05
                     14,                 1.7477,                 1.9446,                 1.7272,                    1.1,                0.58771,                 0.4999,                0.50327,                0.24084,                0.58789,                0.45221,                 0.4556,                0.17759,                 1.5988,                 2.4459,                  1.403,                 1.0129,             8.7001e-05,             8.7001e-05,             8.7001e-05
                     15,                 1.7443,                 2.0175,                 1.6618,                 1.1006,                0.62945,                0.48907,                0.51611,                0.25536,                0.61342,                0.48239,                0.48983,                0.19119,                 1.5582,                 2.4222,                 1.3785,                 1.0019,             8.6001e-05,             8.6001e-05,             8.6001e-05
                     16,                 1.7317,                 1.9337,                 1.6528,                 1.0918,                0.62951,                0.48698,                0.51684,                 0.2547,                0.61517,                0.47167,                0.47652,                0.19096,                 1.5538,                 2.4412,                 1.3312,                0.99123,             8.5002e-05,             8.5002e-05,             8.5002e-05
                     17,                 1.6963,                   1.91,                 1.6108,                 1.0912,                 0.6228,                0.51914,                0.53398,                 0.2688,                 0.6139,                0.49464,                 0.4895,                0.18968,                 1.5331,                 2.3764,                 1.3104,                0.98914,             8.4002e-05,             8.4002e-05,             8.4002e-05
