                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6822,                 3.3781,                  8.636,                 1.6262,                0.11493,                0.08576,                0.02836,                0.01165,                0.12109,                0.09035,                0.03164,                0.01083,                 2.3058,                 3.3213,                 3.4362,                 1.3843,               0.066751,             3.3282e-05,             3.3282e-05
                      1,                 2.2726,                 2.8571,                  3.397,                 1.4008,                0.27455,                0.16691,                0.14439,                0.07338,                0.27959,                0.16997,                0.14402,                 0.0625,                  2.037,                 2.8493,                  2.649,                 1.2605,                0.03345,              6.595e-05,              6.595e-05
                      2,                 2.1556,                 2.6586,                 2.8058,                 1.3331,                0.42583,                 0.2634,                0.23962,                0.11387,                0.42198,                0.25574,                0.23374,                0.09384,                 1.9646,                 2.7713,                 2.2491,                 1.2187,             0.00014892,              9.795e-05,              9.795e-05
                      3,                  2.078,                 2.5381,                 2.5073,                  1.272,                0.48325,                0.34456,                0.31934,                0.14947,                0.47315,                0.32466,                0.29933,                0.11201,                  1.841,                 2.6509,                 1.9889,                 1.1466,                9.7e-05,                9.7e-05,                9.7e-05
                      4,                 2.0434,                 2.4583,                 2.2744,                 1.2289,                0.51518,                 0.3694,                0.35152,                0.15674,                0.52326,                0.33844,                0.33819,                0.12667,                 1.8835,                 2.5714,                 1.8292,                 1.1357,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                 1.9808,                 2.4074,                 2.1064,                  1.199,                0.52994,                0.39019,                0.37454,                0.17687,                0.52569,                0.37825,                0.36433,                0.14464,                 1.7953,                 2.5564,                 1.7338,                 1.1167,                9.6e-05,                9.6e-05,                9.6e-05
                      6,                 1.9526,                 2.3793,                 2.0216,                 1.1792,                0.53752,                0.43785,                0.41347,                0.19474,                0.53598,                0.42266,                0.39065,                0.14305,                 1.7626,                 2.4902,                 1.6652,                 1.0947,                9.5e-05,                9.5e-05,                9.5e-05
                      7,                 1.9093,                 2.3417,                 1.9206,                 1.1441,                0.55911,                 0.4487,                0.42956,                0.21544,                0.53625,                0.41614,                0.41091,                0.16621,                 1.7222,                 2.4819,                 1.5759,                 1.0766,             9.4001e-05,             9.4001e-05,             9.4001e-05
                      8,                 1.9093,                 2.3291,                 1.8895,                 1.1431,                0.59135,                0.46316,                0.45286,                0.21708,                 0.5653,                0.43812,                0.42096,                0.16793,                 1.7376,                 2.5205,                 1.5234,                 1.0739,             9.3001e-05,             9.3001e-05,             9.3001e-05
                      9,                 1.8542,                 2.2753,                 1.8126,                 1.1148,                0.56168,                0.48851,                0.47166,                0.22886,                0.59458,                 0.4196,                0.44087,                 0.1716,                 1.6834,                 2.5039,                 1.5032,                 1.0482,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     10,                 1.8409,                  2.289,                  1.801,                  1.115,                0.56934,                0.48698,                0.46322,                0.21829,                0.58227,                0.45329,                0.44901,                0.16902,                 1.7098,                 2.4743,                 1.4836,                 1.0478,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     11,                 1.8209,                 2.3045,                 1.7475,                  1.099,                0.58855,                0.50995,                0.48105,                0.23477,                0.56087,                0.46708,                0.44363,                0.17802,                 1.6722,                 2.4635,                  1.446,                 1.0369,             9.0001e-05,             9.0001e-05,             9.0001e-05
